Timestamp,"If you consent to taking this survey, please select 'Yes'",What is your gender?,What is your age?,Please rate the your experience of watching Video #1 based on the scale below.,Please rate the your experience of watching Video #2 based on the scale below.,Please rate your experience of watching Video #2 in comparison to Video #1.,"If you experienced any quality issues with the videos (e.g., jitter, pauses) or would like to describe your experience, please write below. Please also mention the specific video."
6/23/2021 20:09:33,Yes,Female,22,2,1,2,
6/23/2021 20:18:44,Yes,Male,22,4,1,1,video 2 seemed to be lagging compared to video 1. video 1 was also lagging a bit but very less compared to video 2. greater jitters in video 2. 
6/23/2021 20:54:24,Yes,Male,21,4,4,5,
6/23/2021 20:56:22,Yes,Male,20,2,1,3,A lot of pauses in video 2. Jitters observed in video 1 
6/23/2021 21:13:36,Yes,Male,21,1,1,4,Very Very laggy and jittery. Seems like the video FPS are very low. Not  comfortable to watch at all.
6/23/2021 21:21:12,Yes,Male,20,4,1,1,"Video 2 was very jittery and the pauses felt more and more annoying as the video progresses and so watching it became increasingly frustrating, same feeling as trying to watch a movie online on a bad internet connection"
6/23/2021 21:22:50,Yes,Male,21,4,1,1,Video 2 had lots of extremely annoying jitters and it hurt when I tried to focus on the scene and on what was actually going on in the video.
6/23/2021 21:25:04,Yes,Male,21,4,2,2,Video 2 is a bit laggy. There were pauses in between. I feel picture quality is also compromised in video 2 compared to video 1.
6/23/2021 21:31:11,Yes,Male,21,2,1,1,"Both videos had evident lags. For some reason, resolution of video 2 looked better than video 1 but the lag was greater causing greater distraction. "
6/23/2021 21:33:14,Yes,Male,22,3,2,2,"In video 2 there was more stuttering. Moreover, in video 2 there were some frames which would stop for a couple of second completely."
6/23/2021 21:41:35,Yes,Male,22,2,1,2,"Video 2 had significantly larger video pauses, jitter than video 1 which was very annoying. Video 1 also had noticeable lag and jitter as well, but it was watchable."
6/23/2021 21:42:27,Yes,Male,26,4,2,2,Video 2 was very jittery and had long pauses
6/23/2021 21:43:59,Yes,Female,21,3,1,1,"Video 2 was very jittery, i stopped watching it halfway cause it was really annoying. "
6/23/2021 21:45:18,Yes,Male,21,4,2,3,
6/23/2021 21:45:23,Yes,Female,22,4,2,4,
6/23/2021 21:45:32,Yes,Male,22,4,1,1,SO MANY JITTERS IN VIDEO 2
6/23/2021 21:51:16,Yes,Male,22,3,2,2,"First video on its own without watching the second seemed of low quality, as well as a little choppy (not completely smooth as you'd expect in a YouTube video). However, the second video was much more jittery, dropping a lot of frames and it was difficult to even follow what was going on since at one point there were just flashing images and no motion because of how jittery it was. 

In comparison, both videos were of low quality but the differential in terms of quality was not noticeable. However, in terms of smoothness, the first video was much better than the second one, but still, not high quality and neither as smooth as it should normally be for streaming."
6/23/2021 21:52:14,Yes,Male,21,2,2,3,
6/23/2021 22:00:39,Yes,Female,22,4,3,2,
6/23/2021 22:08:36,Yes,Male,22,5,2,3,
6/23/2021 22:26:53,Yes,Male,22,3,4,4,
6/23/2021 22:29:38,Yes,Male,21,4,2,1,Vid 1 seemed way more continuous compared to Vid 2. 
6/23/2021 22:32:32,Yes,Female,24,4,1,1,
6/23/2021 22:39:47,Yes,Female,21,5,1,1,"Pauses were more prominent in video 2 than in video 1, making video 2 look like as if a video is being stuck due to internet connection issue when in fact it was programmed to be this way. The Experience with Video 2 wasn't good at all. Video 1 was far better than in 2 "
6/23/2021 23:13:28,Yes,Male,21,5,2,2,jitters in video 2 
6/23/2021 23:14:51,Yes,Male,20,5,5,3,
6/23/2021 23:49:08,Yes,Male,21,4,4,4,. 
6/23/2021 23:50:02,Yes,Female,21,4,4,4,Slight pauses in video 2. Video 1 was comparatively fine. Overall I think video 2 was better?
6/23/2021 23:51:14,Yes,Male,24,4,3,4,
6/23/2021 23:54:20,Yes,Female,20,5,3,3,"Yes the second link paused more than the first, and wasn't as consistently smooth. The irregular pauses made it a bit annoying "
6/23/2021 23:54:31,Yes,Female,21,3,2,1,Video 2 seemed to lag and then speed up some times compared to video which which was relatively smoother
6/23/2021 23:55:58,Yes,Male,21,5,3,2,Pauses in the second video
6/24/2021 0:08:38,Yes,Male,22,4,2,2,The quality of the first video was better since it was smoother as compared to the second video.
6/24/2021 0:10:58,Yes,Male,21,4,3,4,I felt the quality (pixel wise was same) buy the overall quality gap due to pauses was noticeable. However the context of the video was still there and I did not lose my focus because of it and was thus able to follow through 
6/24/2021 0:17:49,Yes,Female,21,3,2,2,Both videos were not clear and were not smooth in terms of flow. The quality was very low as the videos looked very pixelated.
6/24/2021 0:25:19,Yes,Female,22,4,3,2,In video 2 the video kept on getting stuck and lagged in many parts. As for the quality I did not feel much difference. 
6/24/2021 0:29:07,Yes,Male,21,3,1,2,The second video was very laggy as compared to the first one. 
6/24/2021 0:35:31,Yes,Male,21,3,2,4,
6/24/2021 0:36:46,Yes,Female,20,4,2,3,
6/24/2021 0:37:38,Yes,Female,23,4,2,4,
6/24/2021 0:45:35,Yes,Female,21,4,4,3,Video number 2 was the best 
6/24/2021 0:46:38,Yes,Female,20,4,3,2,
6/24/2021 0:47:11,Yes,Male,20,3,1,1,A lot of pauses
6/24/2021 0:47:54,Yes,Female,20,3,2,3,
6/24/2021 0:48:07,Yes,Female,21,3,1,2,Video #2 constantly felt like it was buffering. Both of them were a headache though. 
