State	Run	Process	Thread	CPU	Used
Normal	1	kthreadd	kswapd0	3	1.024341873
Normal	1	kthreadd	kswapd0	2	0.907968333
Normal	1	kthreadd	kswapd0	1	0.86038472
Normal	1	kthreadd	kswapd0	0	0.673698926
Normal	2	kthreadd	kswapd0	2	0.612105443
Normal	2	kthreadd	kswapd0	1	0.581838192
Normal	2	kthreadd	kswapd0	0	0.413824409
Normal	2	kthreadd	kswapd0	3	0.34731664
Normal	3	kthreadd	kswapd0	0	0.388702897
Normal	3	kthreadd	kswapd0	1	0.379170206
Normal	3	kthreadd	kswapd0	2	0.371551212
Normal	3	kthreadd	kswapd0	3	0.251220569
Moderate	1	kthreadd	kswapd0	3	9.486855377
Moderate	1	kthreadd	kswapd0	2	5.094548272
Moderate	1	kthreadd	kswapd0	1	4.761875474
Moderate	1	kthreadd	kswapd0	0	3.093582852
Moderate	2	kthreadd	kswapd0	2	7.647550539
Moderate	2	kthreadd	kswapd0	3	5.759765115
Moderate	2	kthreadd	kswapd0	1	4.43302506
Moderate	2	kthreadd	kswapd0	0	3.824806074
Moderate	3	kthreadd	kswapd0	3	6.561755659
Moderate	3	kthreadd	kswapd0	2	6.035269587
Moderate	3	kthreadd	kswapd0	1	5.993731592
Moderate	3	kthreadd	kswapd0	0	3.269053368
