Process	PID	Thread	TID	State	Wall duration (ms)	Avg Wall duration (ms)	Occurrences
kthreadd	2	kworker/1:0	2943	Sleeping	39155.74824	122.745292	319
kthreadd	2	kworker/3:2	8217	Sleeping	39122.98876	180.29027	217
kthreadd	2	present_fence_w	185	Sleeping	39032.51443	16.567281	2356
kthreadd	2	kworker/2:2	8343	Sleeping	39001.3403	99.747673	391
kthreadd	2	frame_update_wo	186	Sleeping	38987.03782	16.590228	2350
kthreadd	2	kworker/0:1H	233	Sleeping	38982.38971	19.878832	1961
kthreadd	2	hps_main	158	Sleeping	38797.20704	99.73575	389
kthreadd	2	ksoftirqd/0	6	Sleeping	38706.07656	111.544889	347
org.mozilla.firefox	9901	JS Watchdog	9989	Sleeping	38601.89478	965.047369	40
/system/bin/surfaceflinger	3534	app	3548	Sleeping	38572.04532	9.943811	3879
kthreadd	2	kworker/1:2H	12396	Sleeping	38532.14345	7.274333	5297
kthreadd	2	display_esd_che	183	Uninterruptible Sleep	38394.19615	1010.373582	38
kthreadd	2	kworker/2:1H	9263	Sleeping	38390.20755	14.714529	2609
/system/bin/surfaceflinger	3534	DispSync	3545	Sleeping	38380.17921	6.671333	5753
kthreadd	2	ksoftirqd/1	15	Sleeping	38146.36044	183.395963	208
kthreadd	2	kworker/3:0H	24523	Sleeping	38028.88465	23.047808	1650
org.mozilla.firefox:tab0	12875	JS Watchdog	12920	Sleeping	38001.01534	974.385008	39
kthreadd	2	mtk charger_hv_	204	Sleeping	37997.8955	974.305012	39
/system/bin/surfaceflinger	3534	SWWatchDog	3634	Sleeping	37997.32796	974.29046	39
kthreadd	2	kworker/u9:2	8133	Sleeping	37943.06879	13.239033	2866
kthreadd	2	kworker/u8:4	10369	Sleeping	37868.14939	49.761037	761
kthreadd	2	kworker/u9:0	10256	Sleeping	37835.55418	12.499357	3027
kthreadd	2	rcu_preempt	7	Sleeping	37722.92393	8.19529	4603
kthreadd	2	kworker/0:1	8123	Sleeping	37658.99593	39.146565	962
kthreadd	2	dmcrypt_write	473	Sleeping	37630.40907	94.076022	400
kthreadd	2	kworker/u9:5	8877	Sleeping	37608.85726	13.786237	2728
kthreadd	2	kworker/u9:1	8199	Sleeping	37592.61339	15.546986	2418
kthreadd	2	ksoftirqd/2	20	Sleeping	37515.15229	183.897805	204
kthreadd	2	kworker/0:3	10972	Sleeping	37486.09767	80.270016	467
/system/bin/surfaceflinger	3534	Binder:3534_4	3882	Sleeping	37463.06206	24.107504	1554
kthreadd	2	kcompactd0	30	Sleeping	37236.12318	730.120062	51
kthreadd	2	pbm	156	Sleeping	37136.29364	2063.127424	18
org.mozilla.firefox	9901	Cache2 I/O	10027	Sleeping	37117.72102	360.366223	103
kthreadd	2	kworker/u8:0	8214	Sleeping	36882.18354	42.151066	875
org.mozilla.firefox:tab0	12875	Binder:12875_3	12893	Sleeping	36830.33098	106.139282	347
org.mozilla.firefox	9901	Timer	10020	Sleeping	36722.99121	153.012463	240
kthreadd	2	kauditd	255	Sleeping	36646.18205	678.633	54
kthreadd	2	kworker/u8:2	9118	Sleeping	36559.58182	95.705711	382
org.mozilla.firefox	9901	StreamTrans #10	13016	Sleeping	36518.45603	73.924	494
org.mozilla.firefox:tab0	12875	Timer	12925	Sleeping	36408.86518	10.950034	3325
kthreadd	2	file-storage	1853	Sleeping	36279.32702	558.143492	65
/system/bin/surfaceflinger	3534	surfaceflinger	3547	Sleeping	36114.07646	1805.703822	20
org.mozilla.firefox	9901	mali-mem-purge	10033	Sleeping	36006.66815	127.68322	282
org.mozilla.firefox	9901	mali-hist-dump	10039	Sleeping	35918.31575	129.669009	277
org.mozilla.firefox	9901	localStorage DB	10277	Sleeping	35841.32059	2108.312975	17
/system/bin/surfaceflinger	3534	HwBinder:3534_1	3575	Sleeping	35831.29382	273.521326	131
org.mozilla.firefox	9901	URL Classifier	10045	Sleeping	35539.02917	182.251431	195
/system/bin/surfaceflinger	3534	surfaceflinger	3551	Sleeping	35484.28501	113.007277	314
/system/bin/surfaceflinger	3534	surfaceflinger	3550	Sleeping	35439.56077	222.890319	159
/system/bin/surfaceflinger	3534	sf	3549	Sleeping	35389.92533	47.759683	741
org.mozilla.firefox	9901	IPDL Background	10046	Sleeping	35349.62485	11.359133	3112
org.mozilla.firefox	9901	GPU completion	10238	Sleeping	35071.58013	97.692423	359
org.mozilla.firefox	9901	mozilla.firefox	9901	Sleeping	34993.42808	17.383719	2013
org.mozilla.firefox	9901	Gecko_IOThread	9981	Sleeping	34755.00964	6.706871	5182
org.mozilla.firefox:tab0	12875	Socket Thread	12918	Sleeping	34740.4868	20.940618	1659
/system/bin/surfaceflinger	3534	surfaceflinger	3534	Sleeping	34627.48931	55.492771	624
kthreadd	2	ksoftirqd/3	25	Sleeping	34529.58307	166.80958	207
media.codec	672	HwBinder:672_C	13105	Sleeping	34501.35714	492.87653	70
