Process	PID	Thread	TID	State	Wall duration (ms)	Avg Wall duration (ms)	Occurrences
org.mozilla.firefox	8452	URL Classifier	8600	Sleeping	38772.87879	148.555091	261
org.mozilla.firefox	8452	StreamTrans #84	9176	Sleeping	38771.96496	106.224561	365
kthreadd	2	kworker/1:0	2943	Sleeping	38745.90827	121.460527	319
org.mozilla.firefox	8452	GPU completion	8784	Sleeping	38632.94587	35.937624	1075
/system/bin/surfaceflinger	3534	app	3548	Sleeping	38471.72459	6.490927	5927
kthreadd	2	hps_main	158	Sleeping	38397.51631	99.733808	385
kthreadd	2	kworker/0:1	8123	Sleeping	38381.49961	816.627651	47
kthreadd	2	file-storage	1853	Sleeping	38295.96237	524.602224	73
kthreadd	2	display_idle_de	188	Uninterruptible Sleep	38183.71036	2009.668966	19
kthreadd	2	kworker/u9:4	7927	Sleeping	38181.83307	39.855775	958
kthreadd	2	kworker/u9:2	8133	Sleeping	38126.9009	34.503982	1105
org.mozilla.firefox:tab0	8548	JS Watchdog	8666	Sleeping	38000.91442	974.38242	39
kthreadd	2	rcu_preempt	7	Sleeping	37955.29201	8.036267	4723
/system/bin/surfaceflinger	3534	DispSync	3545	Sleeping	37900.67909	4.231403	8957
kthreadd	2	kworker/0:3	9110	Sleeping	37805.00439	27.003574	1400
kthreadd	2	mmcqd/0	211	Sleeping	37782.65356	22.251268	1698
org.mozilla.firefox:tab0	8548	Binder:8548_4	8853	Sleeping	37671.88183	30.258539	1245
/system/bin/surfaceflinger	3534	Binder:3534_2	3546	Sleeping	37671.87692	25.749744	1463
kthreadd	2	ion_history	70	Uninterruptible Sleep	37436.17944	505.894316	74
/system/bin/surfaceflinger	3534	surfaceflinger	3534	Sleeping	37435.16619	26.455947	1415
org.mozilla.firefox	8452	StreamTrans #87	9185	Sleeping	37364.23919	105.251378	355
org.mozilla.firefox	8452	StreamTrans #86	9184	Sleeping	37308.4728	107.517212	347
org.mozilla.firefox	8452	StreamTrans #88	9186	Sleeping	37283.7465	107.137202	348
kthreadd	2	ksoftirqd/2	20	Sleeping	37247.47027	180.812962	206
org.mozilla.firefox:tab0	8548	Timer	8671	Sleeping	37227.75897	7.033394	5293
kthreadd	2	kworker/u8:2	9118	Sleeping	37056.09726	23.984528	1545
media.codec	672	HwBinder:672_1	9192	Sleeping	37000.761	493.34348	75
org.mozilla.firefox:tab0	8548	StreamTrans #13	9183	Sleeping	36991.95324	3699.195323	10
/system/bin/surfaceflinger	3534	Binder:3534_3	3727	Sleeping	36966.97568	14.846174	2490
kthreadd	2	kworker/u8:3	8121	Sleeping	36927.48078	23.16655	1594
org.mozilla.firefox	8452	mali-cmar-backe	8595	Sleeping	36704.50407	8.052765	4558
kthreadd	2	kworker/1:2H	12396	Sleeping	36555.00535	812.333452	45
org.mozilla.firefox	8452	IPDL Background	8602	Sleeping	36487.52766	7.877272	4632
org.mozilla.firefox	8452	mozilla.firefox	8452	Sleeping	36421.49897	13.419859	2714
kthreadd	2	display_esd_che	183	Uninterruptible Sleep	36271.58463	1007.544017	36
kthreadd	2	kworker/3:0H	24523	Sleeping	36263.67617	389.932001	93
org.mozilla.firefox:tab0	8548	Socket Thread	8665	Sleeping	36213.0507	11.142477	3250
kthreadd	2	dmcrypt_write	473	Sleeping	36126.99892	104.715938	345
org.mozilla.firefox:media	8816	HwBinder:8816_1	8841	Sleeping	35935.93005	15.376949	2337
media.codec	672	MtkOmxVdecThrea	9189	Sleeping	35883.52628	8.087339	4437
kthreadd	2	kworker/3:2	8217	Sleeping	35839.43174	171.480534	209
kthreadd	2	kworker/u8:1	8188	Sleeping	35798.654	24.025942	1490
kthreadd	2	kworker/0:1H	233	Sleeping	35752.17973	368.579172	97
org.mozilla.firefox:media	8816	a.firefox:media	8816	Sleeping	35751.02865	13.057351	2738
org.mozilla.firefox:tab0	8548	ImageBridgeChld	8682	Sleeping	35689.89468	7.513662	4750
org.mozilla.firefox	8452	Binder:8452_3	8530	Sleeping	35677.24972	19.058359	1872
org.mozilla.firefox	8452	Binder:8452_1	8476	Sleeping	35652.65055	18.578765	1919
org.mozilla.firefox	8452	localStorage DB	8807	Sleeping	35496.38401	1868.230737	19
media.codec	672	HwBinder:672_7	12286	Sleeping	35472.72157	17.816535	1991
media.codec	672	OMXCallbackDisp	9193	Sleeping	35387.00114	14.257454	2482
kthreadd	2	kworker/u9:6	9006	Sleeping	35274.32475	85.409987	413
org.mozilla.firefox:tab0	8548	Thread-19	9180	Sleeping	35046.19976	6.051839	5791
org.mozilla.firefox:tab0	8548	Binder:8548_5	8856	Sleeping	35025.8284	23.941099	1463
org.mozilla.firefox	8452	GleanAPIPool	8487	Sleeping	34936.14704	3881.794115	9
media.codec	672	HwBinder:672_B	27287	Sleeping	34893.1831	14.230498	2452
org.mozilla.firefox:media	8816	MediaCodec_loop	9187	Sleeping	34871.39824	4.046814	8617
org.mozilla.firefox:tab0	8548	JS Helper	8667	Sleeping	34631.61216	1018.576828	34
org.mozilla.firefox	8452	DefaultDispatch	8513	Sleeping	34619.14169	865.478542	40
org.mozilla.firefox:media	8816	Binder:8816_4	8854	Sleeping	34477.85544	10.457341	3297
org.mozilla.firefox:tab0	8548	MediaTimer #1	9195	Sleeping	34424.10362	6.372473	5402
org.mozilla.firefox:tab0	8548	JS Helper	8670	Sleeping	34295.35597	1039.253211	33
org.mozilla.firefox:tab0	8548	Thread-20	9194	Sleeping	34256.96165	6.023731	5687
org.mozilla.firefox	8452	Gecko_IOThread	8536	Sleeping	34236.85294	3.79608	9019
org.mozilla.firefox:tab0	8548	MediaSupervisor	9182	Sleeping	33996.12584	5.324373	6385
org.mozilla.firefox	8452	DefaultDispatch	9169	Sleeping	33992.33671	1359.693468	25
kthreadd	2	pbm	156	Sleeping	33847.75223	1410.323009	24
org.mozilla.firefox:tab0	8548	Chrome_ChildThr	8664	Sleeping	33525.78536	3.788652	8849
kthreadd	2	kworker/u8:0	8214	Sleeping	33509.30681	26.281809	1275
org.mozilla.firefox:tab0	8548	Thread-21	9178	Sleeping	33449.31547	4.286175	7804
org.mozilla.firefox:tab0	8548	Thread-18	9179	Sleeping	33374.21296	5.213906	6401
kthreadd	2	kworker/u9:1	8199	Sleeping	33290.61441	31.112723	1070
org.mozilla.firefox	8452	Thread-24	8538	Sleeping	32549.22552	7.357419	4424
org.mozilla.firefox:media	8816	CodecLooper	9188	Sleeping	32038.30873	2.192152	14615
org.mozilla.firefox	8452	Gecko	8491	Sleeping	31056.09238	4.143021	7496
org.mozilla.firefox:tab0	8548	JS Helper	8668	Sleeping	30811.80993	832.751619	37
kthreadd	2	btif_rxd	164	Sleeping	30783.47077	855.09641	36
kthreadd	2	mtk_wmtd	390	Sleeping	30780.56577	769.514144	40
kthreadd	2	mtk_stp_psm	388	Sleeping	30774.46208	1099.087931	28
kthreadd	2	tx_thread	1418	Sleeping	30719.26518	7.430881	4134
org.mozilla.firefox:media	8816	FinalizerWatchd	8832	Sleeping	30651.03107	10217.01036	3
org.mozilla.firefox:media	8816	ReferenceQueueD	8830	Sleeping	30651.01607	10217.00536	3
org.mozilla.firefox:media	8816	FinalizerDaemon	8831	Sleeping	30650.34414	10216.78138	3
org.mozilla.firefox:tab0	8548	JS Helper	8669	Sleeping	30547.41929	803.879454	38
org.mozilla.firefox:media	8816	HeapTaskDaemon	8829	Sleeping	30499.16236	4357.023194	7
kthreadd	2	kcompactd0	30	Sleeping	30438.13074	75.52886	403
org.mozilla.firefox:tab0	8548	Binder:8548_8	8882	Sleeping	30160.84809	128.344034	235
org.mozilla.firefox:tab0	8548	Binder:8548_C	8890	Sleeping	30080.02563	28.033574	1073
kthreadd	2	bat_percent_not	59	Sleeping	29999.99154	7499.997884	4
kthreadd	2	dlpt_notify_thr	60	Sleeping	29999.98485	7499.996212	4
org.mozilla.firefox	8452	pool-14-thread-	8573	Sleeping	29996.67769	14998.33885	2
kthreadd	2	bat_update_thre	203	Uninterruptible Sleep	29987.49892	7496.87473	4
org.mozilla.firefox:tab0	8548	Binder:8548_3	8566	Sleeping	29971.56138	2305.504721	13
kthreadd	2	bat_routine_thr	202	Uninterruptible Sleep	29950.42007	202.367703	148
