Process	PID	Thread	TID	State	Wall duration (ms)	Avg Wall duration (ms)	Occurrences
kthreadd	2	hps_main	158	Sleeping	37097.38617	99.724156	372
kthreadd	2	ksoftirqd/2	20	Sleeping	37086.28378	416.699817	89
kthreadd	2	frame_update_wo	186	Sleeping	37045.78326	16.582714	2234
kthreadd	2	ksoftirqd/0	6	Sleeping	36954.27447	260.241369	142
kthreadd	2	present_fence_w	185	Sleeping	36946.02263	16.560297	2231
kthreadd	2	kworker/1:2H	12396	Sleeping	36937.06708	59.194017	624
kthreadd	2	kworker/1:0	2943	Sleeping	36857.15931	76.946052	479
kthreadd	2	kworker/0:1H	233	Sleeping	36852.97167	37.300578	988
kthreadd	2	kworker/u8:3	14523	Sleeping	36685.73835	135.371728	271
kthreadd	2	kworker/3:0H	24523	Sleeping	36607.26783	13.311733	2750
kthreadd	2	kworker/2:1	14321	Sleeping	36323.17749	103.484836	351
kthreadd	2	kworker/3:1	14545	Sleeping	36319.81456	95.830645	379
kthreadd	2	display_esd_che	183	Uninterruptible Sleep	36274.69394	1007.630387	36
kthreadd	2	file-storage	1853	Sleeping	36272.54271	525.689024	69
kthreadd	2	ksoftirqd/3	25	Sleeping	36191.38162	517.019737	70
/system/bin/surfaceflinger	3534	app	3548	Sleeping	36081.08981	21.425825	1684
kthreadd	2	ksoftirqd/1	15	Sleeping	36009.67284	356.531414	101
kthreadd	2	kworker/0:3	14518	Sleeping	36009.18798	27.425124	1313
kthreadd	2	kworker/2:1H	9263	Sleeping	36005.93231	4.244981	8482
kthreadd	2	mtk charger_hv_	204	Sleeping	35999.21052	972.951635	37
/system/bin/surfaceflinger	3534	SWWatchDog	3634	Sleeping	35978.02229	972.37898	37
org.mozilla.firefox	13990	JS Watchdog	14086	Sleeping	35957.94668	998.831852	36
org.mozilla.firefox	13990	Timer	14112	Sleeping	35896.95082	377.86264	95
kthreadd	2	rcu_preempt	7	Sleeping	35805.24591	8.200926	4366
/system/bin/surfaceflinger	3534	DispSync	3545	Sleeping	35801.97788	10.91191	3281
kthreadd	2	kworker/0:2	14550	Sleeping	35799.44996	761.690424	47
kthreadd	2	kauditd	255	Sleeping	35739.22381	595.65373	60
org.mozilla.firefox	13990	DefaultDispatch	14042	Sleeping	35469.36447	1013.410413	35
kthreadd	2	dmcrypt_write	473	Sleeping	35397.99255	140.468224	252
kthreadd	2	kworker/u8:0	14316	Sleeping	35180.8986	39.264395	896
kthreadd	2	kworker/u8:2	9118	Sleeping	35011.34442	44.039426	795
/system/bin/surfaceflinger	3534	surfaceflinger	3547	Sleeping	34977.43012	613.639124	57
org.mozilla.firefox	13990	DefaultDispatch	14033	Sleeping	34918.05441	969.945955	36
/system/bin/surfaceflinger	3534	surfaceflinger	3551	Sleeping	34908.42572	545.444151	64
/system/bin/surfaceflinger	3534	surfaceflinger	3550	Sleeping	34817.97741	1088.061793	32
/system/bin/surfaceflinger	3534	sf	3549	Sleeping	34787.43648	243.268786	143
