Process	PID	Thread	TID	State	Wall duration (ms)	Avg Wall duration (ms)	Occurrences
kthreadd	2	frame_update_wo	186	Sleeping	38832.58704	16.588033	2341
kthreadd	2	kworker/1:2H	12396	Sleeping	38752.55789	26.326465	1472
kthreadd	2	kworker/0:1H	233	Sleeping	38734.76634	28.906542	1340
kthreadd	2	present_fence_w	185	Sleeping	38708.27381	16.563232	2337
kthreadd	2	kworker/2:2	8343	Sleeping	38590.80524	104.299473	370
kthreadd	2	kworker/3:2	8217	Sleeping	38578.50931	124.446804	310
kthreadd	2	kworker/1:0	2943	Sleeping	38541.99978	114.029585	338
kthreadd	2	hps_main	158	Sleeping	38496.76915	99.732562	386
org.mozilla.firefox	9901	mali-mem-purge	10033	Sleeping	38432.26276	118.253116	325
kthreadd	2	display_esd_che	183	Uninterruptible Sleep	38393.08215	1010.344267	38
kthreadd	2	ksoftirqd/1	15	Sleeping	38389.86509	142.184685	270
org.mozilla.firefox	9901	mali-hist-dump	10039	Sleeping	38370.39292	119.533934	321
kthreadd	2	file-storage	1853	Sleeping	38294.64706	503.876934	76
kthreadd	2	kcompactd0	30	Sleeping	38272.73229	382.727322	100
kthreadd	2	ksoftirqd/2	20	Sleeping	38108.71552	216.526792	176
kthreadd	2	dmcrypt_write	473	Sleeping	38015.32449	100.304286	379
kthreadd	2	mtk charger_hv_	204	Sleeping	37998.8825	974.33032	39
/system/bin/surfaceflinger	3534	SWWatchDog	3634	Sleeping	37997.95988	974.306663	39
/system/bin/surfaceflinger	3534	app	3548	Sleeping	37967.27676	9.383904	4046
/system/bin/surfaceflinger	3534	surfaceflinger	3551	Sleeping	37956.0848	108.445956	350
/system/bin/surfaceflinger	3534	surfaceflinger	3550	Sleeping	37913.47272	212.997037	178
kthreadd	2	kworker/2:2H	12322	Sleeping	37874.49421	11.238722	3370
/system/bin/surfaceflinger	3534	sf	3549	Sleeping	37767.53207	44.854551	842
kthreadd	2	kworker/0:1	8123	Sleeping	37695.94185	27.57567	1367
/system/bin/surfaceflinger	3534	DispSync	3545	Sleeping	37482.49201	6.21394	6032
kthreadd	2	kworker/u8:3	8121	Sleeping	37435.44544	45.876771	816
kthreadd	2	kworker/u9:4	7927	Sleeping	37368.84417	14.378162	2599
org.mozilla.firefox	9901	GPU completion	10238	Sleeping	37283.51749	107.445295	347
kthreadd	2	kworker/u9:0	10256	Sleeping	37224.14694	16.079545	2315
kthreadd	2	rcu_preempt	7	Sleeping	37149.05794	8.132455	4568
kthreadd	2	kauditd	255	Sleeping	37131.98987	640.206721	58
org.mozilla.firefox	9901	JS Watchdog	9989	Sleeping	37000.9844	973.710115	38
org.mozilla.firefox:tab0	10642	JS Watchdog	10702	Sleeping	37000.76816	973.704425	38
/system/bin/surfaceflinger	3534	Binder:3534_4	3882	Sleeping	36950.21124	60.973945	606
org.mozilla.firefox	9901	DefaultDispatch	9955	Sleeping	36932.33377	900.788628	41
/system/bin/surfaceflinger	3534	surfaceflinger	3534	Sleeping	36836.99762	51.956273	709
org.mozilla.firefox	9901	DefaultDispatch	9950	Sleeping	36801.91737	783.019518	47
kthreadd	2	ksoftirqd/0	6	Sleeping	36793.39268	121.832426	302
kthreadd	2	kworker/u9:2	8133	Sleeping	36691.03967	11.230804	3267
kthreadd	2	kworker/3:0H	24523	Sleeping	36641.86997	9.361745	3914
kthreadd	2	kworker/0:3	10972	Sleeping	36451.62895	775.566573	47
kthreadd	2	kworker/u9:5	8877	Sleeping	36380.81919	9.991985	3641
kthreadd	2	display_idle_de	188	Uninterruptible Sleep	36348.60156	1580.37398	23
org.mozilla.firefox	9901	mali-cmar-backe	10038	Sleeping	36201.58874	18.100794	2000
kthreadd	2	kworker/u8:0	8214	Sleeping	36172.13409	39.837152	908
kthreadd	2	ksoftirqd/3	25	Sleeping	35669.06487	216.17615	165
org.mozilla.firefox:tab0	10642	Timer	10707	Sleeping	35636.79934	11.270335	3162
org.mozilla.firefox	9901	Binder:9901_3	9943	Sleeping	35621.64857	698.463697	51
org.mozilla.firefox	9901	Timer	10020	Sleeping	35502.01317	149.168122	238
org.mozilla.firefox	9901	StreamTrans #70	11018	Sleeping	35363.63309	83.013223	426
