Process	PID	Thread	TID	State	Wall duration (ms)	Avg Wall duration (ms)	Occurrences
org.mozilla.firefox	8452	mali-mem-purge	8590	Sleeping	39119.15412	99.287193	394
kthreadd	2	frame_update_wo	186	Sleeping	39059.78024	16.599991	2353
org.mozilla.firefox	8452	mali-hist-dump	8596	Sleeping	39014.88106	99.527757	392
kthreadd	2	present_fence_w	185	Sleeping	39012.09111	16.572681	2354
kthreadd	2	mtk charger_hv_	204	Sleeping	38999.21075	974.980268	40
/system/bin/surfaceflinger	3534	surfaceflinger	3550	Sleeping	38991.08627	120.715437	323
/system/bin/surfaceflinger	3534	surfaceflinger	3551	Sleeping	38902.58472	60.975838	638
/system/bin/surfaceflinger	3534	sf	3549	Sleeping	38895.00181	24.113454	1613
kthreadd	2	kworker/1:0	2943	Sleeping	38892.50404	87.793462	443
kthreadd	2	ksoftirqd/0	6	Sleeping	38836.17781	97.578336	398
/system/bin/surfaceflinger	3534	Binder:3534_5	4093	Sleeping	38778.65935	101.249763	383
kthreadd	2	kworker/2:2H	12322	Sleeping	38752.86581	123.41677	314
kthreadd	2	kworker/2:2	8343	Sleeping	38728.28388	148.954937	260
kthreadd	2	hps_main	158	Sleeping	38496.98508	99.733121	386
kthreadd	2	kworker/0:1H	233	Sleeping	38473.23947	282.891466	136
/system/bin/surfaceflinger	3534	app	3548	Sleeping	38464.04584	6.587437	5839
kthreadd	2	dmcrypt_write	473	Sleeping	38443.0673	124.009894	310
kthreadd	2	display_esd_che	183	Uninterruptible Sleep	38407.22408	984.800617	39
org.mozilla.firefox	8452	GPU completion	8784	Sleeping	38405.48293	37.950081	1012
kthreadd	2	ksoftirqd/2	20	Sleeping	38383.60469	170.593798	225
kthreadd	2	mmcqd/0	211	Sleeping	38264.24016	18.886594	2026
kthreadd	2	kauditd	255	Sleeping	38129.26097	1155.43215	33
kthreadd	2	kworker/u8:4	8887	Sleeping	38081.55066	45.335179	840
kthreadd	2	rcu_preempt	7	Sleeping	38019.51826	8.034555	4732
org.mozilla.firefox:tab0	8548	JS Watchdog	8666	Sleeping	38001.25958	974.391271	39
org.mozilla.firefox	8452	JS Watchdog	8542	Sleeping	38001.1115	974.387474	39
/system/bin/surfaceflinger	3534	SWWatchDog	3634	Sleeping	38001.02472	974.385249	39
org.mozilla.firefox:tab0	8548	Binder:8548_2	8565	Sleeping	37968.90442	50.557795	751
/system/bin/surfaceflinger	3534	DispSync	3545	Sleeping	37888.32922	4.253769	8907
org.mozilla.firefox:tab0	8548	JS Helper	8670	Sleeping	37749.75532	857.948984	44
kthreadd	2	rcu_sched	8	Sleeping	37576.74568	295.879887	127
kthreadd	2	migration/1	14	Sleeping	37564.68461	4173.853845	9
kthreadd	2	migration/2	19	Sleeping	37564.63491	4695.579364	8
kthreadd	2	migration/0	10	Sleeping	37564.62037	4173.846708	9
kthreadd	2	pbm	156	Sleeping	37519.25783	1875.962891	20
org.mozilla.firefox:tab0	8548	JS Helper	8668	Sleeping	37514.32737	893.19827	42
kthreadd	2	kworker/u8:1	8188	Sleeping	37482.73244	34.674128	1081
org.mozilla.firefox	8452	Binder:8452_6	8948	Sleeping	37466.00846	20.046018	1869
/system/bin/surfaceflinger	3534	surfaceflinger	3534	Sleeping	37440.60896	27.631445	1355
org.mozilla.firefox:tab0	8548	Timer	8671	Sleeping	37420.56583	6.96715	5371
org.mozilla.firefox:tab0	8548	JS Helper	8669	Sleeping	37362.67059	1037.85196	36
kthreadd	2	ksoftirqd/1	15	Sleeping	37305.66489	158.074851	236
org.mozilla.firefox:tab0	8548	JS Helper	8667	Sleeping	37301.53665	1203.275375	31
/system/bin/surfaceflinger	3534	Binder:3534_3	3727	Sleeping	37097.31881	14.709484	2522
kthreadd	2	kworker/1:2H	12396	Sleeping	37049.28286	544.842394	68
media.codec	672	HwBinder:672_B	9100	Sleeping	37001.85801	493.358106	75
org.mozilla.firefox	8452	IPDL Background	8602	Sleeping	36930.624	8.976816	4114
kthreadd	2	ion_history	70	Uninterruptible Sleep	36853.914	498.025864	74
org.mozilla.firefox	8452	mali-cmar-backe	8595	Sleeping	36611.36471	8.174004	4479
org.mozilla.firefox	8452	Timer	8570	Sleeping	36490.33486	149.550552	244
kthreadd	2	kworker/3:2	8217	Sleeping	36487.7158	285.060279	128
org.mozilla.firefox	8452	mozilla.firefox	8452	Sleeping	36421.93647	12.975395	2807
kthreadd	2	kworker/u8:3	8121	Sleeping	36401.15451	17.049721	2135
kthreadd	2	kworker/3:0H	24523	Sleeping	36388.06494	909.701623	40
kthreadd	2	file-storage	1853	Sleeping	36281.42532	533.550372	68
kthreadd	2	display_idle_de	188	Uninterruptible Sleep	36261.12393	2014.506885	18
org.mozilla.firefox	8452	Binder:8452_8	9057	Sleeping	35986.19116	17.921409	2008
media.codec	672	MtkOmxVdecThrea	9097	Sleeping	35884.77544	8.137137	4410
org.mozilla.firefox	8452	localStorage DB	8807	Sleeping	35829.24428	1990.51357	18
org.mozilla.firefox:media	8816	HwBinder:8816_1	8841	Sleeping	35808.93616	15.237845	2350
org.mozilla.firefox:tab0	8548	Thread-14	9088	Sleeping	35737.89354	7.206673	4959
org.mozilla.firefox	8452	Cache2 I/O	8575	Sleeping	35734.38188	308.055016	116
org.mozilla.firefox:media	8816	Binder:8816_4	8854	Sleeping	35727.79033	17.854967	2001
org.mozilla.firefox:media	8816	a.firefox:media	8816	Sleeping	35601.5425	12.852542	2770
org.mozilla.firefox:tab0	8548	ImageBridgeChld	8682	Sleeping	35584.76128	7.488375	4752
kthreadd	2	wdtk-3	224	Sleeping	35552.2934	3950.254822	9
org.mozilla.firefox	8452	StreamTrans #74	9084	Sleeping	35511.04024	87.898614	404
org.mozilla.firefox	8452	StreamTrans #73	9083	Sleeping	35498.66756	89.192632	398
media.codec	672	OMXCallbackDisp	9101	Sleeping	35415.48862	14.014835	2527
media.codec	672	HwBinder:672_B	27287	Sleeping	35410.56775	16.493045	2147
kthreadd	2	kworker/3:2H	18820	Sleeping	35334.85707	2355.657138	15
media.codec	672	HwBinder:672_7	12286	Sleeping	35256.06505	15.073135	2339
org.mozilla.firefox	8452	Jit thread pool	8458	Sleeping	35176.18175	1256.292205	28
org.mozilla.firefox	8452	URL Classifier	8600	Sleeping	35158.89867	131.18992	268
org.mozilla.firefox:tab0	8548	Binder:8548_7	8876	Sleeping	35020.96351	23.177341	1511
org.mozilla.firefox	8452	GleanAPIPool	8487	Sleeping	34880.15618	3170.923289	11
org.mozilla.firefox:tab0	8548	Thread-15	9102	Sleeping	34875.65934	7.094316	4916
org.mozilla.firefox:media	8816	MediaCodec_loop	9095	Sleeping	34828.42816	4.001887	8703
org.mozilla.firefox	8452	Gecko_IOThread	8536	Sleeping	34575.32288	4.056232	8524
org.mozilla.firefox:media	8816	Binder:8816_2	8834	Sleeping	34573.18922	11.19598	3088
kthreadd	2	kworker/u9:6	9006	Sleeping	34267.93618	60.437277	567
kthreadd	2	kworker/3:0	2923	Sleeping	34232.61381	4890.373401	7
